fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第一条,为了保障单位和个人因保护陆生野生动物造成人身伤害、财产损失依法享有政府补偿的权利，根据《中华人民共和国野生动物保护法》、《中华人民共和国陆生野生动物保护实施条例》等法律、法规，结合本省实际，制定本办法。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第二条,在本省行政区域内，因保护《中华人民共和国野生动物保护法》规定保护的陆生野生动物（以下称野生动物）造成人身伤害、财产损失的，受害人或者其近亲属可以依照本办法申请补偿。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第三条,各级人民政府应当加强野生动物资源管理，组织社会各方面力量保护野生动物生存环境，采取措施预防和控制野生动物可能造成的危害，保障人身和财产安全。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第四条,省人民政府林业行政主管部门负责指导和监督本行政区域内野生动物造成损害的补偿工作。市、县人民政府林业行政主管部门负责组织本行政区域内野生动物造成损害的认定、核实和补偿工作。县级以上人民政府财政、民政、农业农村、卫生健康、公安、人力资源社会保障等有关行政主管部门，应当按照各自职责，做好野生动物造成损害的补偿工作。乡（镇）人民政府、街道办事处应当做好野生动物造成损害的调查工作，村民委员会、居民委员会配合做好相关工作。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第五条,县级以上人民政府林业行政主管部门应当采取有效措施，预防和控制野生动物可能造成的损害，并做好下列工作：（一）组织开展有关野生动物物种资源调查，制定防范措施；（二）设置警示牌，发放宣传手册，利用电视、广播等新闻媒体宣传野生动物保护的法律、法规和保护、防护知识；（三）组织开展有关野生动物生物习性、防护技术等内容的培训工作；（四）研究并综合运用预防和控制野生动物可能造成损害的技术、措施，有计划地捕猎野猪等非重点保护野生动物。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第六条,野生动物造成人身伤害、财产损失，有下列情形之一的，政府予以补偿：（一）造成公民身体伤害或者死亡的；（二）对在依法划定的生产经营区域内种植的农作物和经济林木造成较大损毁的；（三）对圈养的家禽家畜造成较重伤害或者死亡的；（四）县级以上人民政府林业行政主管部门认定的其他情形。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第七条,野生动物造成人身伤害、财产损失，有下列情形之一的，政府不予补偿：（一）主动攻击或者故意伤害野生动物，造成身体伤害或者死亡的；（二）挑逗野生动物，造成身体伤害或者死亡的；（三）非法狩猎，造成身体伤害或者死亡的；（四）在依法划定的生产经营区域外种植的农作物和经济林木造成损毁的；（五）非圈养的家禽家畜造成伤害或者死亡的；（六）县级以上人民政府林业行政主管部门认定的不予补偿的其他情形。人工繁育、运输的野生动物逃逸造成人身伤害和财产损失的，由人工繁育、运输单位或者个人依法承担民事责任。,无对应案由,侵权责任纠纷 > 侵权责任纠纷 > 饲养动物损害责任纠纷
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第八条,野生动物造成人身伤害、财产损失，属于本办法第六条规定情形之一，受害人或者其近亲属要求人身伤害补偿或者财产损失补偿的，应当在抢救、治疗结束后30日内或者自遭受财产损失之日起15日内向所在地乡（镇）人民政府或者街道办事处提出补偿申请。补偿申请包括下列内容：（一）受害人的姓名、性别、年龄和住址；单位申请的，应当载明单位名称、地址和主要负责人的姓名、职务。（二）具体的损害事实、要求和理由。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第九条,乡（镇）人民政府或者街道办事处应当自接到补偿申请之日起5日内，对野生动物造成的人身伤害或者财产损失情况进行调查，提出初步处理意见，并将补偿申请相关材料和初步处理意见一并报市、县人民政府林业行政主管部门。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十条,市、县人民政府林业行政主管部门应当自收到补偿申请相关材料和初步处理意见之日起10日内，根据具体情况组织本级人民政府财政、民政、农业农村、卫生健康、公安等有关行政主管部门进行核实确认，提出补偿或者不予补偿的意见，书面通知申请人，并将意见在本部门网站和损害行为发生地村民委员会或者居民委员会公示。公示期为7日。公示期内，对公示内容有异议的，可以向市、县人民政府林业行政主管部门提出。市、县人民政府林业行政主管部门应当在7日内组织调查核实。公示期满，没有异议或者异议不成立，对应当补偿的，由市、县人民政府林业行政主管部门作出补偿决定，同级人民政府财政行政主管部门根据补偿决定及时向申请人一次性发放补偿费。对于不能及时发放补偿费、申请人生活确有困难的，可以预支部分补偿费，年终按照补偿决定的全部金额结清。需要进行劳动能力鉴定的，由市、县人民政府林业行政主管部门委托设区的市级以上劳动能力鉴定委员会作出劳动能力鉴定结论。鉴定期间不计入上述期限。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十一条,野生动物造成人身伤害或者财产损失的补偿费，按照下列标准计算：（一）造成身体伤害但未丧失劳动能力的，支付实际医疗费的80%及因误工减少的收入。误工减少的收入按照所在地市、县上年度职工日平均工资计算。（二）造成身体部分或者全部丧失劳动能力的，支付实际医疗费和补偿金。补偿金根据丧失劳动能力的程度确定，部分丧失劳动能力的，最高额为所在地市、县上年度职工年平均工资的4倍；全部丧失劳动能力的，最高额为所在地市、县上年度职工年平均工资的8倍。（三）造成人员死亡的，支付实际医疗费和补偿金、丧葬费。补偿金、丧葬费的总额为所在地市、县上年度职工年平均工资的10倍。（四）造成农作物或者经济林木损失的，按照核实的损失量和所在地市、县上年度该类农作物或者经济林木的市场平均价格计算，补偿损失的60%。（五）造成家禽家畜受伤的，补偿实际发生治疗费的50%—70%，最高额不超过该家禽家畜市场价格的50%；造成家禽家畜死亡的，按照该家禽家畜市场价格的60%—80%给予补偿。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十二条,因遭受野生动物伤害，造成人员死亡或者丧失劳动能力，导致家庭生活困难的，可以依法向所在地市、县人民政府民政行政主管部门申请救助。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十三条,野生动物造成人身伤害或者财产损失的补偿费，列入省、市或者县财政预算，按照财政管理体制由省、市或者县财政各负担50%。省财政负担部分，经省人民政府林业行政主管部门审核提出补偿资金意见后，由省人民政府财政行政主管部门审定下拨。县级以上人民政府财政、审计行政主管部门应当依法对野生动物造成人身伤害或者财产损失的补偿费使用情况进行监督。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十四条,虚报、冒领补偿费的，由市、县人民政府林业行政主管部门责令退回；构成犯罪的，依法追究刑事责任。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十五条,行政机关工作人员在陆生野生动物造成人身伤害和财产损失补偿工作中，有违法违纪行为，应当承担纪律责任的，依法给予处分；构成犯罪的，依法追究刑事责任。,无对应案由,
安徽省陆生野生动物造成人身伤害和财产损失补偿办法第十六条,本办法自2011年7月1日起施行。,无对应案由,
